"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","MOR1","MOR2","MOR3","MOR4"
"ENSMUSG00000035181",0.82,1.33,1.12,1.4,1.17,1.8,0.9,0.85
"ENSMUSG00000035183",1.27,1.3,1.26,1.11,0.99,0.71,0.82,1.1
"ENSMUSG00000035184",5.3,6.38,4.8,6.23,6.98,7.76,9.76,6.31
"ENSMUSG00000035186",0,0,0.07,0,0,0,0,0
"ENSMUSG00000035187",0,0,0.02,0,0,0,0,0
"ENSMUSG00000035189",5.26,6.81,4.41,6.33,5.01,6.6,4.15,9.82
"ENSMUSG00000035191",0,0,0.09,0.11,0,0,0,0
"ENSMUSG00000035198",34.52,32.74,36.24,36.38,39.63,40.91,39.31,40.75
"ENSMUSG00000035199",133.95,115.01,93.9,105.15,104.85,120.66,97.73,108.3
"ENSMUSG00000035200",0,0.32,0.17,0.11,0,0.06,0.19,0.58
"ENSMUSG00000035201",0,0,0,0,0,0,0,0
"ENSMUSG00000035202",5.77,4.53,6.63,6.62,4.15,9.36,5.24,4.27
"ENSMUSG00000035203",129.58,131,111.12,136.77,130.04,136.78,163.32,139.18
"ENSMUSG00000035206",18.06,25.26,31.69,18.62,18.53,18.97,20.41,19.31
"ENSMUSG00000035208",0.22,0.49,0.28,0.14,0.11,0.32,0.12,0.34
"ENSMUSG00000035211",0.79,0.56,1.23,0.87,0.93,1.08,0.68,0.51
"ENSMUSG00000035212",23.12,22.82,27.28,21.39,21.02,19.28,16.75,20.93
"ENSMUSG00000035215",122.56,91.11,78.5,59.95,109.96,67.29,104.97,107.53
"ENSMUSG00000035226",4.06,5.22,3.21,3.76,5.35,4.03,5.41,5.51
"ENSMUSG00000035227",104.64,72.8,76.2,75.13,107.89,95.8,94.6,96.41
"ENSMUSG00000035228",40.09,38.8,58.34,47.29,48.89,44.77,60.58,50.84
"ENSMUSG00000035232",27.95,28.46,30.04,27.11,27.64,33.55,26.9,27.71
"ENSMUSG00000035234",2.1,1.89,3.61,1.78,1.95,1.2,2.49,2.39
"ENSMUSG00000035235",6.27,5.73,5.24,7.02,7.88,8.29,6.9,6.95
"ENSMUSG00000035236",9.86,9.86,6.98,12.25,9.93,12.11,11.38,7.58
"ENSMUSG00000035237",33.82,40.35,18.63,20.82,11.57,21.47,11.71,17.61
"ENSMUSG00000035238",0.05,0.07,0,0.17,0,0.5,0.07,3.42
"ENSMUSG00000035239",0.63,0.73,0.85,1,0.91,0.58,0.6,0.31
"ENSMUSG00000035242",872.44,725.25,817.77,808.48,754.29,818.51,731.8,726.46
"ENSMUSG00000035245",4.43,6.31,6.64,6.24,2.98,2.25,3,2.92
"ENSMUSG00000035246",9.52,9.94,7.85,9.91,9.2,13.21,10.07,12.15
"ENSMUSG00000035247",7.78,9.67,10.95,11.56,8.5,11.73,9.84,9.72
"ENSMUSG00000035248",12,13.76,12.76,14.55,15.79,12.33,15.12,15.49
"ENSMUSG00000035258",7.81,9.61,1.81,6.55,6.79,26.4,40.35,28.23
"ENSMUSG00000035262",0.24,0.04,0.29,0.44,0.19,0.13,0.09,0.46
"ENSMUSG00000035266",2.98,4.54,5.08,7.26,4.02,3.42,3.12,3.16
"ENSMUSG00000035268",160.35,147.6,108,127.43,181.11,140.61,184.68,199.64
"ENSMUSG00000035270",0.09,0.11,0.04,0.07,0.1,0.16,0.03,0
"ENSMUSG00000035273",0.34,0.07,0.02,0.05,0.05,0.12,0,0.25
"ENSMUSG00000035274",9.71,7.52,8.86,6.94,3.44,16.94,18.9,15.5
"ENSMUSG00000035275",1.48,1.36,1.17,1.66,1.27,1.39,1.21,1.56
"ENSMUSG00000035277",2.01,1.66,1.59,2.2,2.01,1.44,3.16,1.87
"ENSMUSG00000035278",30,21.21,22.93,17.83,28.35,19.45,27.68,25.44
"ENSMUSG00000035279",0.21,0.16,0.2,0.19,0.19,0.07,0.2,0.16
"ENSMUSG00000035283",2.91,2.52,2.2,1.62,1.79,2.36,2.58,2.44
"ENSMUSG00000035284",5.05,6.93,5.66,8.28,9.01,7.87,7.69,7.52
"ENSMUSG00000035285",115.17,107.59,129.41,107.3,158.19,132.13,162.88,149.98
"ENSMUSG00000035293",2.26,1.82,2.13,2.94,2.83,2.57,3.46,2.92
"ENSMUSG00000035295",0.34,0.49,0.2,0.65,0.42,0.22,0.51,0.7
"ENSMUSG00000035296",0.15,0.1,0.11,0,0,0.18,0,0.54
"ENSMUSG00000035297",79.66,67.81,77.8,72.01,80.45,95.35,72.31,83.37
"ENSMUSG00000035298",0.58,0.67,1.05,0.33,0.63,0.33,0.57,0.54
"ENSMUSG00000035299",1.83,1.61,3.01,3.97,1.58,2.73,3.67,1.73
"ENSMUSG00000035305",0.19,0.41,0.36,0.2,0.04,0.3,0.16,0.11
"ENSMUSG00000035311",3.92,5.49,4.03,4.77,5.42,6.57,5.21,4.15
"ENSMUSG00000035314",7.76,12.19,24.95,12.78,8.5,9.17,7.76,14.97
"ENSMUSG00000035325",31.17,39.04,38.92,32.86,27.24,39.47,37.52,40.8
"ENSMUSG00000035329",5.28,2.87,2.21,2.38,3.09,2.61,3.75,2.3
"ENSMUSG00000035337",0.12,0.67,0.36,0.63,0.68,0.13,0.25,0
"ENSMUSG00000035342",8.73,10.16,10.4,8.33,9.4,9.68,9.86,9.48
"ENSMUSG00000035351",4.35,3.01,3.13,4.49,5.15,5.14,4.26,4.05
"ENSMUSG00000035352",3.18,0.39,0.25,1.21,0.29,0.28,0.53,1.82
"ENSMUSG00000035354",6.33,6.64,8.22,8.16,5.89,8.64,7.27,7.9
"ENSMUSG00000035355",0.79,1.06,2.19,0.93,0.22,0.49,0.59,0.71
"ENSMUSG00000035356",1.08,1.51,0.7,1.14,1.05,1.29,0.86,0.94
"ENSMUSG00000035357",4.55,7.51,1.38,3.88,4.21,5.32,4.96,4.07
"ENSMUSG00000035365",0.18,0.06,0.18,0.07,0.13,0.23,0.02,0
"ENSMUSG00000035367",4.91,4.6,3.89,4.78,6.07,6.02,4.98,4.58
"ENSMUSG00000035370",0.49,1.18,1.25,0.67,1.14,1.02,1.28,1.79
"ENSMUSG00000035371",0,0,0,0,0,0,0,0
"ENSMUSG00000035372",13.46,17.22,13.82,15.92,16.24,16.72,16.58,17.55
"ENSMUSG00000035373",1.39,0.26,0,0.3,0.26,0,0.27,0.17
"ENSMUSG00000035376",15.41,17.09,11.35,16.07,15.76,15.34,14.5,14.36
"ENSMUSG00000035378",1.95,1.96,2.45,3.17,3.16,2.84,3.27,3.5
"ENSMUSG00000035382",5.73,9.01,8.35,7.28,5.94,6.31,5.65,5.91
"ENSMUSG00000035383",0.7,1.01,0.43,0.76,0.88,0.49,0.67,0.28
"ENSMUSG00000035385",0.4,0.09,0.08,0.2,0.13,0.09,0.26,0.09
"ENSMUSG00000035387",0,0,0,0,0,0,0,0
"ENSMUSG00000035390",6.4,6.62,5.94,7.59,6.52,6.1,6.44,4.63
"ENSMUSG00000035392",10.13,11.61,14.32,13.1,9.57,11.79,10.68,11.03
"ENSMUSG00000035394",0.03,0,0.11,0.3,0,0,0,0
"ENSMUSG00000035395",0,0,0,0,0,0,0,0
"ENSMUSG00000035397",7.2,6.2,11.32,6.41,7.91,6.45,11.16,9
"ENSMUSG00000035399",20.49,18.94,18.81,16.74,18.62,20.03,21.44,21.59
"ENSMUSG00000035401",12.13,15.69,17.59,14.28,8.87,16.56,11.1,13.3
"ENSMUSG00000035403",0.55,1.39,0.86,1.06,1.2,1.81,1.23,1.27
"ENSMUSG00000035407",0.41,0.33,0.43,0.25,0.12,0.26,0.1,0.12
"ENSMUSG00000035413",9.13,6.33,7.61,6.96,6.08,8.62,5.8,7.45
"ENSMUSG00000035420",0,0.11,0,0,0,0,0,0
"ENSMUSG00000035427",0,0,0,0,0,0,0,0
"ENSMUSG00000035429",0.43,0.44,0.44,0.16,0.29,0.35,0.21,0.21
"ENSMUSG00000035431",9.58,10.19,4.78,8.05,12.45,12.13,10.9,11.19
"ENSMUSG00000035435",0.17,0.32,0.08,0,0.06,0.18,0.07,0.29
"ENSMUSG00000035437",20.59,21.15,21.06,26.58,23.96,26.75,24.04,22.97
"ENSMUSG00000035439",4.91,3.9,4.92,4.65,4.15,4.76,4.58,6.29
"ENSMUSG00000035441",1.37,2.52,3.06,2.18,1.61,1.86,1.73,1.02
"ENSMUSG00000035443",40.77,34.64,35.57,39.04,46.02,57.89,46.55,38.78
"ENSMUSG00000035448",0,0,0,0.02,0.02,0.05,0.04,0
"ENSMUSG00000035451",0,0,0.06,0,0,0,0,0
"ENSMUSG00000035454",0,0,0,0,0,0,0,0
"ENSMUSG00000035455",1,0.44,0.12,0.64,0.65,0.5,0.51,0.76
"ENSMUSG00000035456",1.21,1.05,0.27,1.08,1.95,0.92,1.38,0.61
"ENSMUSG00000035458",2.09,11.95,1.2,1.11,0.21,0.83,0.16,2.56
"ENSMUSG00000035459",0.02,0.01,0.02,0.1,0.08,0.06,0.04,0.02
"ENSMUSG00000035469",8.21,9.31,11.77,8.48,5.25,10.2,7.83,7.99
"ENSMUSG00000035472",0.84,0.6,0.56,0.73,0.18,0.53,0.51,0.25
"ENSMUSG00000035473",1.33,1.41,1.15,0.95,1.34,1.7,1.46,1.57
"ENSMUSG00000035476",0.99,0.94,0.69,0.68,1.04,0.76,0.63,0.86
"ENSMUSG00000035478",22.73,23.71,29.23,22.37,21.89,20.13,27.36,29.79
"ENSMUSG00000035486",19.04,17.04,24.74,11.52,6.91,4.66,5.36,4.2
"ENSMUSG00000035491",0,0,0.25,0,0,0,0,0
"ENSMUSG00000035493",2.5,1.74,3.65,1.65,1.65,0.93,0.79,0.95
"ENSMUSG00000035495",6.02,3.92,5.57,5.31,4.43,7.03,4.67,5.8
"ENSMUSG00000035498",0.02,0,0.06,0.09,0,0.03,0,0
"ENSMUSG00000035504",4.14,3.89,4.84,4.56,4.72,2.32,3.17,2.53
"ENSMUSG00000035505",11.12,15.92,14.1,11.12,12.09,15.32,13.13,12.56
"ENSMUSG00000035506",0.67,0.35,1.22,0.91,0.35,0.19,0.34,1.47
"ENSMUSG00000035509",2.13,0.7,1.09,1.33,1.23,1.12,1.88,0.98
"ENSMUSG00000035513",27.06,26.01,10.45,15.24,19.28,19.94,14.3,14.8
"ENSMUSG00000035517",6.33,5.17,5.44,3.89,2.96,4.58,3.06,3.5
"ENSMUSG00000035521",103.21,90.75,103.39,90.82,89.58,83.36,97.47,87.43
"ENSMUSG00000035522",0.06,0,0,0,0,0,0,0.07
"ENSMUSG00000035523",0,0,0.03,0.02,0.03,0,0,0.01
"ENSMUSG00000035528",0.44,0.25,1.21,0.35,0.06,0.36,0.04,2.13
"ENSMUSG00000035529",2.63,3.94,2.87,2.73,1.73,2.94,3.17,2.8
"ENSMUSG00000035530",424.76,332.92,463.34,364.76,408.61,338.79,401.52,402.95
"ENSMUSG00000035539",0.01,0,0,0.02,0,0,0,0
"ENSMUSG00000035540",0.04,0.25,0.53,0.09,0,0,0,0
"ENSMUSG00000035545",51.23,120.95,117.6,131.31,61.74,68.83,79.4,60.79
"ENSMUSG00000035547",6.37,7.34,7.43,9.68,10.86,11.18,11.66,8.63
"ENSMUSG00000035551",0.67,0.34,1.1,3.8,1.54,2.72,4.53,2.1
"ENSMUSG00000035557",0.97,0.18,0.75,0.52,0.5,0.53,0.14,0.18
"ENSMUSG00000035559",46.21,46.14,33.25,32.28,35.42,31.01,29.59,35.2
"ENSMUSG00000035560",0,0.04,0,0,0,0.04,0,0.13
"ENSMUSG00000035561",8.69,8.07,9.6,6.75,8.58,8.09,10.56,8.1
"ENSMUSG00000035566",10.08,10.85,19.91,15.35,12.05,11.3,11.99,10.87
"ENSMUSG00000035569",10.82,12.26,12.74,14.96,13.99,12.32,13.67,10.92
"ENSMUSG00000035572",0.85,0.88,0.83,1.4,1.09,0.68,0.86,0.66
"ENSMUSG00000035575",7.4,7.84,9.97,8.39,7.34,9.62,8.78,8.12
"ENSMUSG00000035576",2.12,1.89,2.01,2.75,2.96,2.55,3.69,2
"ENSMUSG00000035578",0.58,0.74,0.54,0.91,1.05,1.03,1.37,0.49
"ENSMUSG00000035580",0.23,0.42,0.3,0.61,0.08,0.36,0.37,0.77
"ENSMUSG00000035582",0,0.11,0,0,0,0.1,0.02,0.27
"ENSMUSG00000035585",78.17,72.28,78.69,60.55,79.72,70.25,73.34,80.65
"ENSMUSG00000035592",0,0,0.04,0,0,0,0.04,0
"ENSMUSG00000035594",0.11,0.03,0,0,0.09,0.13,0.18,0
"ENSMUSG00000035595",3.39,3.17,4.84,4.55,2.98,3.17,2.43,3.4
"ENSMUSG00000035596",67.15,48.52,79.17,52.14,72.81,56.23,68.2,56.74
"ENSMUSG00000035597",9.28,12.9,9.88,12.15,12.98,10.31,10.56,12.87
"ENSMUSG00000035601",7.72,8.21,5.69,5.84,6.49,7.83,7.16,6.92
"ENSMUSG00000035606",0.23,0.25,0.41,0.36,0.06,0.37,0.04,0.14
"ENSMUSG00000035614",6.12,7.9,8.9,10.21,8.52,9.82,9.59,7.33
"ENSMUSG00000035615",1.38,2.45,2.55,1.65,1.11,4.14,2.27,1.64
"ENSMUSG00000035620",15.73,18.49,56.01,22.29,12.87,17.16,14.01,14.19
"ENSMUSG00000035621",1.64,2.91,2.29,1.15,1.9,2.8,3.87,2.37
"ENSMUSG00000035623",4.11,4.46,4.85,5.59,6.32,4.3,5.45,5.54
"ENSMUSG00000035626",0,0.21,0,0,0,0,0,0
"ENSMUSG00000035629",11.88,14.97,19.09,16.6,17.23,18.88,19.24,19.52
"ENSMUSG00000035632",11.86,14.7,14.43,15.41,14.52,14.18,18.16,15.98
"ENSMUSG00000035637",24.99,20.72,27.15,24.49,25.22,30.38,22.14,20.22
"ENSMUSG00000035638",0,0,0.06,0,0,0,0,0
"ENSMUSG00000035640",78.96,78.97,107.82,75.29,84.09,82.96,131.43,117.01
"ENSMUSG00000035642",58.57,44.97,49.21,37.89,48.27,40.34,39.63,47.33
"ENSMUSG00000035649",28.07,35.55,26.31,36.69,26.68,26.18,27.35,24.71
"ENSMUSG00000035651",0,0,0,0,0,0,0.24,0
"ENSMUSG00000035653",11.16,14.48,13.28,12.94,11.76,13.79,6.96,9.81
"ENSMUSG00000035666",3.96,3.18,4.11,3.09,1.93,4.01,3.32,3.61
"ENSMUSG00000035671",1.69,1.41,2.58,1.69,1.69,1.47,1.72,1.47
"ENSMUSG00000035673",2.23,4.21,4.86,4.69,3.77,2.95,4.64,3.87
"ENSMUSG00000035674",493.05,276.02,210.69,250.67,367.93,284.13,364.12,339.56
"ENSMUSG00000035678",0.31,0.65,0.74,0.06,0.64,0.11,0.28,0.6
"ENSMUSG00000035681",10.03,9.1,5.94,13.92,18.2,16.62,11.92,14.4
"ENSMUSG00000035683",0.07,0.26,0.52,0.85,0.26,0.25,0.47,0.24
"ENSMUSG00000035686",22.94,28.98,13.37,16.22,15.64,19.66,12.14,19.55
"ENSMUSG00000035692",2.34,1.88,1.65,0.58,1.1,0.63,0.82,1.59
"ENSMUSG00000035694",0,0.07,0,0.03,0.05,0.06,0.03,0.17
"ENSMUSG00000035696",2.62,2.69,3.28,4.19,2.94,4.27,3.91,3.87
"ENSMUSG00000035697",1.83,2.55,2.14,2.78,1.74,1.67,2.44,2.07
"ENSMUSG00000035699",0.12,0.06,0,0.03,0.02,0.06,0.13,0.09
"ENSMUSG00000035704",4.19,4.32,4.39,4.42,4.01,5.38,5.17,4.56
"ENSMUSG00000035711",1.32,3.46,2.39,2.15,4.69,1.82,2.41,2.44
"ENSMUSG00000035713",4.05,3.22,2.75,4.47,2.64,3.2,4.86,4.03
"ENSMUSG00000035722",1.62,2.23,1.61,1.7,2.37,2.08,2.41,2.24
"ENSMUSG00000035725",2.5,4.62,3.16,4.81,3.57,3.54,4.27,3.65
"ENSMUSG00000035726",8.3,7.6,10.62,9.57,8.69,11.86,8.96,9.2
"ENSMUSG00000035735",12.63,16.97,16.2,16.24,13.81,14.38,16.24,14.5
"ENSMUSG00000035745",0.05,0.04,0.02,0.07,0,0.26,0.07,0.02
"ENSMUSG00000035754",32.26,27.09,29.64,23.61,35.67,22.29,33.56,32.9
"ENSMUSG00000035757",14.48,17.5,16.87,13.04,4.85,12.69,13.7,18.63
"ENSMUSG00000035759",1.96,3.01,2.02,2.34,1.3,1.78,1.54,1.48
"ENSMUSG00000035762",11.2,10.79,10.57,13.42,9.41,9.23,10.95,12.9
"ENSMUSG00000035764",2.7,2.67,2.06,1.81,3.71,2.13,2.68,2.51
"ENSMUSG00000035765",31.37,34.32,28.64,30.21,32.31,34.16,35.14,29.03
"ENSMUSG00000035769",1.53,1.88,2.55,2.82,2.05,2.69,2.88,1.62
"ENSMUSG00000035770",41.91,46.58,49.67,56.31,56.07,60.14,52.79,47.17
"ENSMUSG00000035772",17.62,18.76,19.87,17.77,19.93,18.94,16.77,16.61
"ENSMUSG00000035773",2.41,3.6,3.55,2.7,3.2,2.76,4.62,3.55
"ENSMUSG00000035775",0.2,0.22,0.11,0.21,0.08,0.08,0,0.04
"ENSMUSG00000035776",25.74,24.39,25.24,24.03,27.05,27.14,26.11,23.8
"ENSMUSG00000035778",1.47,1.43,1.33,2.09,1.52,0.77,1.71,0.93
"ENSMUSG00000035780",0,0.16,0,0,0,0,0,0
"ENSMUSG00000035781",175.76,173.7,179.48,170.84,212.35,164.35,227.11,191.41
"ENSMUSG00000035783",4.64,4.77,13.99,2.05,1.16,3.64,3.24,1.37
"ENSMUSG00000035785",0,0,0,0,0,0,0,0
"ENSMUSG00000035790",44.19,34.06,43.82,35.5,47.58,49.58,40.64,39.45
"ENSMUSG00000035798",22.23,21.29,26.67,23.38,22.35,24.43,23.85,22.69
"ENSMUSG00000035799",0.04,0.17,0.08,0,0.06,0.05,0.04,0.09
"ENSMUSG00000035804",0,0,0,0,0,0,0,0.07
"ENSMUSG00000035805",132.26,145.47,135.01,123.85,93.81,109.41,101.92,120.16
"ENSMUSG00000035811",0,0,0,0.02,0,0,0,0
"ENSMUSG00000035818",0.44,0.06,0.06,0.07,0,0.09,0.06,0.06
"ENSMUSG00000035824",22.57,24.93,22.48,23.61,22.57,23.84,22.49,22.1
"ENSMUSG00000035828",20.86,26.43,25.59,14.36,18.4,15.35,16.73,19.42
"ENSMUSG00000035829",1.31,1.96,1.59,1.9,1.75,1.86,1.22,1.93
"ENSMUSG00000035831",0.03,0.17,0.17,0,0,0.15,0,0
"ENSMUSG00000035834",1.27,1.28,1.79,1.28,1.11,1.36,2.19,1.49
"ENSMUSG00000035835",22.28,20.77,44.65,21.42,16.31,20.68,27.32,21.38
"ENSMUSG00000035836",0,0,0,0.19,0,0,0,0
"ENSMUSG00000035840",5.99,8.42,6.7,6.47,5.5,3.8,5.22,5.94
"ENSMUSG00000035842",0.3,0.34,0.69,0.39,0.26,0.23,0.41,0.19
"ENSMUSG00000035845",6.9,7.16,8.69,8.91,5.37,4.58,5.25,6.5
"ENSMUSG00000035847",42.25,38.19,24.96,46.02,38.84,43.98,44.88,31.36
"ENSMUSG00000035849",14.29,14.05,11.32,15.06,16.36,16,13.15,10.98
"ENSMUSG00000035851",10.09,9.02,10.91,7.31,8.46,10.16,10.89,11.53
"ENSMUSG00000035852",0.05,0.25,0.26,0,0.21,0.22,0,0.2
"ENSMUSG00000035860",0.64,0.52,0.14,0.58,0.77,0.4,0.53,0.47
"ENSMUSG00000035861",0,0,0,0.02,0,0,0,0
"ENSMUSG00000035863",121.21,147.92,153.99,115.76,74.68,152.13,188.95,191.38
"ENSMUSG00000035864",252.78,246.28,186.37,241.71,303.39,245.88,208.53,261.44
"ENSMUSG00000035868",4,3.58,4.91,5.55,4.02,4.33,3.84,5.44
"ENSMUSG00000035873",0.11,0.4,0.12,0.33,0.24,0.21,0.33,0.36
"ENSMUSG00000035875",0,0,0,0.1,0,0,0,0
"ENSMUSG00000035877",6.79,8.68,9.72,9.34,9.28,9.18,9.17,10.02
"ENSMUSG00000035878",0.51,1.02,0.72,0.79,0.65,0.68,0.69,0.49
"ENSMUSG00000035885",1669.16,1271.42,913.82,1146.27,1560.87,1038.32,1526.88,1338.56
"ENSMUSG00000035890",13.3,10.46,9.21,9.61,10.83,7.73,15.28,12.59
"ENSMUSG00000035891",6.57,6.31,6.49,5.86,4.68,8.37,4.03,6.36
"ENSMUSG00000035896",0.13,0.42,0,0.41,0.16,0.52,0,0.14
"ENSMUSG00000035898",3.71,4.35,4.49,4.93,5.21,6.85,4.86,5.8
"ENSMUSG00000035900",2.65,2.25,2.64,3.01,2.82,1.67,2.86,2.78
"ENSMUSG00000035901",11.7,12.86,11.58,11.79,11.83,10.81,9.02,10.06
"ENSMUSG00000035910",1.02,0.56,2.71,1.23,0.84,0.77,0.53,0.68
"ENSMUSG00000035914",3.68,5.84,4.78,3.6,2.29,3.46,3.48,6.93
"ENSMUSG00000035916",0.04,0.02,0,0.04,0.08,0.1,0.09,0.02
"ENSMUSG00000035919",4.76,4.67,9.13,6.55,6.17,6.73,4.65,4.52
"ENSMUSG00000035923",0,0,0,0,0,0,0.11,0
"ENSMUSG00000035929",0.48,0.18,0.36,0.1,0.23,0.26,0.42,0.22
"ENSMUSG00000035930",0.46,0,0.52,0.13,0,0,0.07,0
"ENSMUSG00000035932",0.01,0,0.01,0,0,0.04,0,0
"ENSMUSG00000035933",12.45,12.91,15.41,13.24,12.44,13.85,12.7,15.21
"ENSMUSG00000035934",16.23,19.31,17.46,15.24,16,14.99,10.31,15.47
"ENSMUSG00000035936",11.07,10.74,16.44,10.97,3.71,9.13,7.98,7.53
"ENSMUSG00000035941",3.61,5.11,5.19,4.63,4.1,4.76,5.08,4.54
"ENSMUSG00000035944",2.12,1.89,2.2,2.66,2.34,2.61,1.86,1.88
"ENSMUSG00000035946",1.18,1.25,0.33,1.02,0.81,0.85,2.41,1.09
"ENSMUSG00000035948",0.37,0.32,0.14,0.04,0.06,0,0.23,0
"ENSMUSG00000035949",50.29,46.6,54.21,47.48,44.3,49.74,50.33,52.23
"ENSMUSG00000035951",0,0.6,0.2,0,0.07,0,0.31,0
"ENSMUSG00000035953",62.35,32.97,35.74,18.18,13.24,36.42,27.56,26.23
"ENSMUSG00000035954",4.19,7.1,9.75,8.81,6.43,8.16,7.51,6.21
"ENSMUSG00000035958",9.53,8.04,8.11,7.46,5.86,9.3,9.91,9.29
"ENSMUSG00000035960",50.4,47.87,49.22,50.48,60.24,58.66,55.84,57.38
"ENSMUSG00000035963",0.68,0.95,0.44,0.78,0.66,0.95,0.92,0.62
"ENSMUSG00000035964",307.25,301.39,189.46,270.27,356.98,322.95,361.7,314.08
"ENSMUSG00000035967",6.65,11.09,7.97,10.63,7.5,7.43,6.38,6.5
"ENSMUSG00000035969",31.29,34.69,39.26,27.17,29.84,30.68,43.91,31.48
"ENSMUSG00000035984",14.49,11.97,10.56,7.96,12.85,12.33,13.99,15.18
"ENSMUSG00000035992",6.22,6.48,6.98,7.65,6.11,6.85,6.46,7.76
"ENSMUSG00000036002",11.13,13.38,12.43,13.97,9.25,7.71,9.24,8.56
"ENSMUSG00000036006",12.99,11.68,27.66,18.76,15.49,19.04,19.31,18.45
"ENSMUSG00000036009",3.84,4.42,3.53,5.23,3.11,3.26,6.31,3.8
"ENSMUSG00000036013",0,0,0,0,0,0,0,0
"ENSMUSG00000036019",1.26,2.52,2.37,2.27,0.78,1.57,1.64,2.05
"ENSMUSG00000036022",2.19,1.33,1.12,1.27,2.08,1.21,1.25,1.51
"ENSMUSG00000036023",11.24,8.58,9.93,9.69,10.88,9.97,9.36,11.3
"ENSMUSG00000036026",49.49,54.99,50.18,55.56,52.76,58.22,62.46,48.68
"ENSMUSG00000036027",0,0.05,0,0,0,0.12,0,0
"ENSMUSG00000036030",0.22,0.33,0.21,0.33,0.32,0.47,0.31,0.47
"ENSMUSG00000036036",1.57,1.64,1.68,4.95,3.8,4.69,6.76,3.98
"ENSMUSG00000036040",3.09,2.4,0.98,2.36,4.58,4.55,5.2,4.49
"ENSMUSG00000036046",6.71,11.22,11.87,9.58,7.14,8.19,6.95,6.27
"ENSMUSG00000036052",38.25,48.82,49.03,39.64,55.09,60.43,75.61,80.68
"ENSMUSG00000036053",2,1.99,1.35,3.23,2.63,2.42,2.83,2.02
"ENSMUSG00000036054",15.21,25.76,26.03,25.67,19.46,21.41,26.34,21.37
"ENSMUSG00000036057",6.89,7,7.89,8.73,6.01,5.94,7.29,6.56
"ENSMUSG00000036061",6.49,6.71,20.07,5.55,7.53,5.69,6.82,5.03
"ENSMUSG00000036062",31.67,32.75,45.9,46.37,45.89,46.34,50.86,33.67
"ENSMUSG00000036067",17.69,16.95,9.35,13.5,20.33,13.72,18.79,12.92
"ENSMUSG00000036073",31.24,31.3,22.85,26.53,38.49,33.63,33.36,26.32
"ENSMUSG00000036078",29.38,29.08,24.81,26.64,32.39,20.97,28.16,27.95
"ENSMUSG00000036083",0,0.04,0,0.04,0,0,0,0
"ENSMUSG00000036086",1.56,1.49,1.43,2.06,2.3,2.38,3.45,2.28
"ENSMUSG00000036087",3.47,1.49,1.75,0.79,0.89,1.84,0.83,1.66
"ENSMUSG00000036091",0.29,0.26,0.19,0.31,0.74,0.39,0.51,0.47
"ENSMUSG00000036093",6.46,6.14,5.8,5.74,6.69,5.33,6.45,6.89
"ENSMUSG00000036095",47.25,60.79,128.4,65.03,50.59,60.12,54.33,61.22
"ENSMUSG00000036097",10.39,14.13,12.65,17.33,16.86,18.57,15.55,14.64
"ENSMUSG00000036098",2.37,2.45,2.72,2.16,1.25,1.88,1.06,1.29
"ENSMUSG00000036099",18.22,20.6,17.68,17.79,18.25,22.2,21.92,17.59
"ENSMUSG00000036103",3.73,3.4,3.86,1.68,1.99,2.65,1.18,1.07
"ENSMUSG00000036104",19.5,20.64,25.7,24.81,26.17,31.72,27.74,26.91
"ENSMUSG00000036106",10.21,10.85,12.2,12.09,6.47,8.8,4.59,6.59
"ENSMUSG00000036109",0,0,0.15,0,0,0,0.03,0.12
"ENSMUSG00000036110",0,0.04,0.03,0,0.03,0.02,0.03,0.07
"ENSMUSG00000036111",12.73,15.31,15.26,10.06,9.44,15.5,22.64,23.05
"ENSMUSG00000036112",39.01,38.82,37.67,40.33,33.82,40.55,30.51,42.14
"ENSMUSG00000036114",29.46,21.9,25.62,21.54,27.56,22.24,27.66,30.72
"ENSMUSG00000036117",0,0.05,0,0,0,0,0.05,0
"ENSMUSG00000036120",5.6,5.19,6.05,5.08,3.97,5.62,3.81,5.1
"ENSMUSG00000036123",0,0.03,0.03,0,0.01,0.03,0.01,0
"ENSMUSG00000036131",0.38,0.67,0.26,0.19,0.13,2.17,1.53,12.72
"ENSMUSG00000036136",0.02,0,0,0,0.02,0.07,0,0.34
"ENSMUSG00000036138",56.38,59.31,57.13,51.15,46.39,54.24,46.72,52.84
"ENSMUSG00000036139",0,0,0,0,0,0,0,0.03
"ENSMUSG00000036144",0.03,0.12,0.12,0.07,0,0,0,0.06
"ENSMUSG00000036151",0.56,0.24,0.38,0.11,0.21,0.51,0.15,0.3
"ENSMUSG00000036155",12.56,13.17,10.62,16.49,15.54,15.23,14.32,11.34
"ENSMUSG00000036158",15.72,14.24,12.02,16.79,14.24,19.62,18.08,21.9
"ENSMUSG00000036160",5.5,6.05,6.81,6.75,6.77,7.83,7.98,6.03
"ENSMUSG00000036167",19.29,16.82,18.77,20.66,24.13,22.75,21.99,19.68
"ENSMUSG00000036168",0.16,0.04,0.06,0.09,0.14,0.08,0.18,0.23
"ENSMUSG00000036169",0.59,0.23,0.15,0.36,0.61,0.37,0.08,0.16
"ENSMUSG00000036172",0.13,0.33,0.42,0.27,0.14,0.13,0.09,0.17
"ENSMUSG00000036180",3.56,4.29,3.15,5.04,4.56,4.28,3.54,4.01
